"LANG","complexityoflanguages","costoflanguages","RSAcostoflanguages","type","minimal"
"BASQUE",7,1.69611307420495,1.49202015026817,"natural",0.245011571810592
"BULGARIAN",5,2.33009708737864,2.04404189053382,"natural",0.646778919060273
"CATALAN",5,2.09150326797386,1.77770928140167,"natural",0.411299815820057
"CHINESE",6,1.49068322981367,1.49068322981367,"natural",0.0529553785231051
"DUTCH",4,2.30769230769231,2.02377656586399,"natural",0.422792808083682
"ENGLISH",4,1.98347107438017,1.61947605186557,"natural",0.108555936257888
"FINNISH",7,1.67539267015707,1.55120747399965,"natural",0.2243879363739
"FRENCH",7,2.20436280137773,1.79435693416384,"natural",0.751593566489201
"GEORGIAN",9,2.21709006928407,2.02632689872203,"natural",0.890641159932285
"GERMAN",4,2.60692464358452,2.03881973878176,"natural",0.712064073886563
"GREEK",7,2.90030211480362,2.84657782739133,"natural",1.44517023821333
"HAUSA",3,2.82352941176471,2.13911219853198,"natural",0.563395601233915
"HEBREW",6,2.16459977452086,1.83820689551045,"natural",0.616893347397828
"HINDI",3,3.52941176470588,2.9059149537255,"natural",1.16489440696899
"HUNGARIAN",4,1.98347107438017,1.61947605186557,"natural",0.108555936257888
"ICELAND",10,1.3953488372093,1.30174682938502,"natural",0.113463313863831
"IRISH",4,2.71186440677966,2.05605759564936,"natural",0.813313422163577
"ITALIAN",5,2.09150326797386,1.77770928140167,"natural",0.411299815820057
"JAPANESE",5,2.09150326797386,1.77770928140167,"natural",0.411299815820057
"KANNADA",6,1.79775280898876,1.61803099904161,"natural",0.252317650678519
"KAZAKH",5,1.93158953722334,1.44951426798937,"natural",0.253419038839743
"KOREAN",5,2.09150326797386,1.77770928140167,"natural",0.411299815820057
"LATIN",11,1.20754716981132,1.141670991178,"natural",0.042754961443242
"LATVIAN",4,1.98347107438017,1.61947605186557,"natural",0.108555936257888
"LEZGIAN",5,2.09150326797386,1.77770928140167,"natural",0.411299815820057
"LITHUANIAN",11,1.50470219435737,1.40389731654788,"natural",0.258667951917576
"MALTESE",3,2.63013698630137,2.15236595657926,"natural",0.390952136675939
"NANAY",7,2.34910277324633,2.23507653563137,"natural",0.89583514570349
"OSSETIC",6,1.69014084507042,1.69014084507042,"natural",0.145360166658094
"PERSIAN",3,2.63013698630137,2.15236595657926,"natural",0.390952136675939
"POLISH",4,1.98347107438017,1.61947605186557,"natural",0.108555936257888
"PORTUG",5,2.86140089418778,2.4835388723152,"natural",1.17081166420086
"QUECHUA",3,3.22147651006712,2.84871591971801,"natural",0.909458649961259
"ROMANIAN",5,2.09150326797386,1.77770928140167,"natural",0.411299815820057
"RUSSIAN",16,1.26565589980224,1.18278776386771,"natural",0.137592209240965
"SERBIAN",7,1.70666666666667,1.50370379073505,"natural",0.255521895201716
"SWAHILI",3,2.82352941176471,2.13911219853198,"natural",0.563395601233915
"SWEDISH",7,2.29390681003584,2.00263504611331,"natural",0.840833840144296
"TURKISH",5,2.59342638451148,2.48857409184447,"natural",0.90657681755124
"YAKUT",6,1.76039119804401,1.47810376528899,"natural",0.215190803322071
