"";"names.descriptions.";"descriptions";"complexity";"meaning"
"kplus";"kplus";sk;1;"sk-X-X-X-X-X"
"kminus";"kminus";c("su", "ns", "npi", "fci", "nq");1;"X-su-ns-npi-fci-nq"
"specplus";"specplus";c("sk", "su");1;"sk-su-X-X-X-X"
"specminus";"specminus";c("ns", "npi", "fci", "nq");1;"X-X-ns-npi-fci-nq"
"seplus";"seplus";c("npi", "fci", "nq");1;"X-X-X-npi-fci-nq"
"seminus";"seminus";c("sk", "su", "ns");1;"sk-su-ns-X-X-X"
"negplus";"negplus";nq;1;"X-X-X-X-X-nq"
"negminus";"negminus";c("sk", "su", "ns", "npi", "fci");1;"sk-su-ns-npi-fci-X"
"union kplus specminus";"union kplus specminus";c("sk", "ns", "npi", "fci", "nq");2;"sk-X-ns-npi-fci-nq"
"union kplus seplus";"union kplus seplus";c("sk", "npi", "fci", "nq");2;"sk-X-X-npi-fci-nq"
"union kplus negplus";"union kplus negplus";c("sk", "nq");2;"sk-X-X-X-X-nq"
"intersect kminus specplus";"intersect kminus specplus";su;2;"X-su-X-X-X-X"
"setdiff kminus seplus";"setdiff kminus seplus";c("su", "ns");2;"X-su-ns-X-X-X"
"intersect kminus negminus";"intersect kminus negminus";c("su", "ns", "npi", "fci");2;"X-su-ns-npi-fci-X"
"union specplus seplus";"union specplus seplus";c("sk", "su", "npi", "fci", "nq");2;"sk-su-X-npi-fci-nq"
"union specplus negplus";"union specplus negplus";c("sk", "su", "nq");2;"sk-su-X-X-X-nq"
"setdiff specminus seplus";"setdiff specminus seplus";ns;2;"X-X-ns-X-X-X"
"intersect specminus negminus";"intersect specminus negminus";c("ns", "npi", "fci");2;"X-X-ns-npi-fci-X"
"intersect seplus rplus";"intersect seplus rplus";c("npi", "nq");2;"X-X-X-npi-X-nq"
"intersect seplus rminus";"intersect seplus rminus";fci;2;"X-X-X-X-fci-X"
"union seplus negminus";"union seplus negminus";c("npi", "fci", "nq", "sk", "su", "ns");2;"sk-su-ns-npi-fci-nq"
"intersect seplus negminus";"intersect seplus negminus";c("npi", "fci");2;"X-X-X-npi-fci-X"
"union seminus negplus";"union seminus negplus";c("sk", "su", "ns", "nq");2;"sk-su-ns-X-X-nq"
"union kplus intersect seplus rplus";"union kplus intersect seplus rplus";c("sk", "npi", "nq");3;"sk-X-X-npi-X-nq"
"union kplus intersect seplus rminus";"union kplus intersect seplus rminus";c("sk", "fci");3;"sk-X-X-X-fci-X"
"setdiff kminus intersect seplus rplus";"setdiff kminus intersect seplus rplus";c("su", "ns", "fci");3;"X-su-ns-X-fci-X"
"setdiff kminus intersect seplus rminus";"setdiff kminus intersect seplus rminus";c("su", "ns", "npi", "nq");3;"X-su-ns-npi-X-nq"
"setdiff kminus intersect seplus negminus";"setdiff kminus intersect seplus negminus";c("su", "ns", "nq");3;"X-su-ns-X-X-nq"
"union specplus intersect seplus rplus";"union specplus intersect seplus rplus";c("sk", "su", "npi", "nq");3;"sk-su-X-npi-X-nq"
"union specplus intersect seplus rminus";"union specplus intersect seplus rminus";c("sk", "su", "fci");3;"sk-su-X-X-fci-X"
"setdiff specminus intersect seplus rplus";"setdiff specminus intersect seplus rplus";c("ns", "fci");3;"X-X-ns-X-fci-X"
"setdiff specminus intersect seplus rminus";"setdiff specminus intersect seplus rminus";c("ns", "npi", "nq");3;"X-X-ns-npi-X-nq"
"setdiff specminus intersect seplus negminus";"setdiff specminus intersect seplus negminus";c("ns", "nq");3;"X-X-ns-X-X-nq"
"setdiff union kplus specminus seplus";"setdiff union kplus specminus seplus";c("sk", "ns");3;"sk-X-ns-X-X-X"
"union seplus intersect kminus specplus";"union seplus intersect kminus specplus";c("npi", "fci", "nq", "su");3;"X-su-X-npi-fci-nq"
"union seminus intersect seplus rplus";"union seminus intersect seplus rplus";c("sk", "su", "ns", "npi", "nq");3;"sk-su-ns-npi-X-nq"
"union negplus intersect kminus specplus";"union negplus intersect kminus specplus";c("nq", "su");3;"X-su-X-X-X-nq"
"union negplus intersect seplus rminus";"union negplus intersect seplus rminus";c("nq", "fci");3;"X-X-X-X-fci-nq"
"intersect negminus union kplus seplus";"intersect negminus union kplus seplus";c("sk", "npi", "fci");3;"sk-X-X-npi-fci-X"
"setdiff negminus intersect kminus specplus";"setdiff negminus intersect kminus specplus";c("sk", "ns", "npi", "fci");3;"sk-X-ns-npi-fci-X"
"intersect negminus union specplus seplus";"intersect negminus union specplus seplus";c("sk", "su", "npi", "fci");3;"sk-su-X-npi-fci-X"
"intersect negminus intersect seplus rplus";"intersect negminus intersect seplus rplus";npi;3;"X-X-X-npi-X-X"
"setdiff negminus intersect seplus rplus";"setdiff negminus intersect seplus rplus";c("sk", "su", "ns", "fci");3;"sk-su-ns-X-fci-X"
"setdiff negminus intersect seplus rminus";"setdiff negminus intersect seplus rminus";c("sk", "su", "ns", "npi");3;"sk-su-ns-npi-X-X"
"setdiff union kplus specminus intersect seplus rplus";"setdiff union kplus specminus intersect seplus rplus";c("sk", "ns", "fci");4;"sk-X-ns-X-fci-X"
"setdiff union kplus specminus intersect seplus rminus";"setdiff union kplus specminus intersect seplus rminus";c("sk", "ns", "npi", "nq");4;"sk-X-ns-npi-X-nq"
"setdiff union kplus specminus intersect seplus negminus";"setdiff union kplus specminus intersect seplus negminus";c("sk", "ns", "nq");4;"sk-X-ns-X-X-nq"
"setdiff union kplus rplus intersect seplus negplus";"setdiff union kplus rplus intersect seplus negplus";c("sk", "npi");4;"sk-X-X-npi-X-X"
"union union kplus negplus intersect seplus rminus";"union union kplus negplus intersect seplus rminus";c("sk", "nq", "fci");4;"sk-X-X-X-fci-nq"
"intersect setdiff kminus rplus union specplus seplus";"intersect setdiff kminus rplus union specplus seplus";c("su", "fci");4;"X-su-X-X-fci-X"
"union setdiff kminus rplus intersect seplus negplus";"union setdiff kminus rplus intersect seplus negplus";c("su", "ns", "fci", "nq");4;"X-su-ns-X-fci-nq"
"intersect setdiff kminus rminus union specplus seplus";"intersect setdiff kminus rminus union specplus seplus";c("su", "npi", "nq");4;"X-su-X-npi-X-nq"
"setdiff intersect kminus negminus setdiff specminus seplus";"setdiff intersect kminus negminus setdiff specminus seplus";c("su", "npi", "fci");4;"X-su-X-npi-fci-X"
"setdiff intersect kminus negminus intersect seplus rminus";"setdiff intersect kminus negminus intersect seplus rminus";c("su", "ns", "npi");4;"X-su-ns-npi-X-X"
"setdiff union specplus rplus intersect seplus negplus";"setdiff union specplus rplus intersect seplus negplus";c("sk", "su", "npi");4;"sk-su-X-npi-X-X"
"union union specplus negplus intersect seplus rminus";"union union specplus negplus intersect seplus rminus";c("sk", "su", "nq", "fci");4;"sk-su-X-X-fci-nq"
"union setdiff specminus rplus intersect seplus negplus";"union setdiff specminus rplus intersect seplus negplus";c("ns", "fci", "nq");4;"X-X-ns-X-fci-nq"
"setdiff intersect specminus negminus intersect seplus rminus";"setdiff intersect specminus negminus intersect seplus rminus";c("ns", "npi");4;"X-X-ns-npi-X-X"
"setdiff union seplus negminus intersect rplus negminus";"setdiff union seplus negminus intersect rplus negminus";c("fci", "nq", "sk", "su", "ns");4;"sk-su-ns-X-fci-nq"
"setdiff union seplus union kplus specminus intersect rplus negminus";"setdiff union seplus union kplus specminus intersect rplus negminus";c("fci", "nq", "sk", "ns");5;"sk-X-ns-X-fci-nq"
"union union rminus negplus setdiff intersect kminus specplus seplus";"union union rminus negplus setdiff intersect kminus specplus seplus";c("fci", "nq", "su");5;"X-su-X-X-fci-nq"
"intersect setdiff negminus rminus union seplus intersect kminus specplus";"intersect setdiff negminus rminus union seplus intersect kminus specplus";c("su", "npi");5;"X-su-X-npi-X-X"
"setdiff setdiff negminus rminus setdiff intersect kminus specplus seplus";"setdiff setdiff negminus rminus setdiff intersect kminus specplus seplus";c("sk", "ns", "npi");5;"sk-X-ns-npi-X-X"
